ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
571-8,13,0.22,15.55,144.0,LCDM-ISO,-16.60396253229129,-16.60396253229129,-3.26364749848892,both_finite,0.0,0.5225901089855461,0.9931112851507657,37.85154777642025,42.85154777642025,40.11134520626639,nan,nan,nan,nan,1.7458535619760491,-0.02929441429820436,0.7684518512644338,True,False,nan,nan,nan,-2.817707761400827,nan,0,1,0,OK
571-V1,7,1.95,13.59,84.3,LCDM-ISO,-12.566294765445484,-12.566294765445484,-1.3346616187835671,both_finite,0.0,0.11610399483147642,0.9885783770498793,16.949821414176512,36.94982141417651,16.733462010397766,nan,nan,nan,nan,1.0186287886583552,0.1789777644467096,0.1058683260920525,True,False,nan,nan,nan,-2.754889171930922,nan,0,0,0,OK
574-1,14,0.47,12.6,99.7,LCDM-ISO,-23.30864109845728,-23.30864109845728,-3.460105242437397,both_finite,0.0,0.2709871740873336,0.9925289141763982,31.454334372707297,35.898778817151744,34.01056369116833,nan,nan,nan,nan,0.49790001084613605,0.7670661274833714,0.6046069986879352,True,True,nan,nan,nan,-3.0017913387100865,nan,1,1,1,OK
574-2,5,2.17,10.83,40.0,LCDM-NFW,-5.2224998877855455,-5.2224998877855455,-0.17303761245240246,both_finite,0.0,0.27232423296837815,0.9445649846076811,16.29241190273465,16.29241190273465,14.730163552471048,nan,nan,nan,nan,1.3750710820952243,-0.12568998704131354,0.09950677396425227,True,False,nan,nan,nan,0.0,nan,2,2,1,OK
amB,9,0.16,1.79,20.1,LCDM-ISO,-22.978145074629122,-22.978145074629122,2.1978808101688774,both_finite,0.0,0.645979796247054,0.973574495498781,10.733599143603774,20.733599143603776,11.522497452948652,nan,nan,nan,nan,0.31436511746253754,0.9936448545601521,0.4417411816433836,True,True,nan,nan,nan,-3.008139789227714,nan,2,2,2,OK
512-2,4,nan,nan,nan,NA,nan,nan,nan,both_fail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,0,0,0,too_few_points
564-8,6,0.51,3.07,25.0,LCDM-ISO,-20.201524442374833,-20.201524442374833,-1.5248316950060339,both_finite,0.0,0.06634495937530549,0.9978540821035669,-7.132605639169046,32.86739436083096,-7.965567762256827,nan,nan,nan,nan,2.120313711377177,-0.24086279971491928,0.7066833216726899,True,False,nan,nan,nan,-1.2422775412933893,nan,1,2,1,OK
579-V1,14,0.42,15.16,114.0,LCDM-ISO,-23.641664433183216,-23.641664433183216,-2.055763550321455,both_finite,0.0,0.040841284325129436,0.9928275530107468,22.69387765260982,27.138322097054264,25.250106971070856,nan,nan,nan,nan,1.2881738316610183,0.10603697533882196,0.221995273218315,True,False,nan,nan,nan,-2.241825418528177,nan,1,0,1,OK
583-1,25,0.26,16.26,86.9,LCDM-ISO,-32.60379841455776,-32.60379841455776,-8.970860364975223,both_finite,0.0,0.3983677362838099,0.9783125222516856,72.09164860292846,74.09164860292846,76.96715190240126,nan,nan,nan,nan,1.0260059646004625,0.45529666881638997,0.031225721476814575,True,True,nan,nan,nan,-3.3132553186687654,nan,0,0,1,OK
583-4,12,0.22,7.29,69.9,LCDM-NFW,0.8196876364967949,0.8196876364967949,-0.004416058172886039,both_finite,0.0,0.19217465911291742,0.99106981554606,20.188192115331173,25.90247782961689,22.127818714483176,nan,nan,nan,nan,1.9726619067504032,-0.1672825547833888,0.12662275065905873,True,False,nan,nan,nan,0.0,nan,1,1,1,OK
631-7,16,0.45,7.19,58.5,LCDM-ISO,-42.05632372511096,-42.05632372511096,-4.502716714719586,both_finite,0.0,0.4003304717144598,0.9890894755937415,21.476900330270027,25.113263966633664,24.567255219229153,nan,nan,nan,nan,0.6190882660162467,0.5087632468814831,0.0624367829549223,True,True,nan,nan,nan,-4.14755338663201,nan,1,2,1,OK
C2574,34,0.85,10.23,67.5,LCDM-ISO,-67.43487648069075,-67.43487648069075,1.8566537281047815,both_finite,0.028735351562500004,1.0000995971406843,0.9825403543143678,59.922155810067906,61.30146615489549,66.02759790853256,nan,nan,nan,nan,1.0447742456525035,0.47673305066922594,0.748114739101712,False,True,nan,nan,nan,-3.6389920895464067,nan,0,2,0,OK
C4202,32,0.77,25.9,250.0,LCDM-ISO,-23.24931640699677,-23.24931640699677,23.798771241318402,both_finite,0.07999267578125004,1.0000985322264104,0.9210339819983455,184.0280485751864,185.5095300566679,189.89099218638532,nan,nan,nan,nan,0.2868677289205067,0.7533203209168259,0.005082462536724249,False,True,nan,nan,nan,-6.85486567998575,nan,1,1,1,OK
K98-251,15,0.25,3.13,34.6,LCDM-ISO,-35.8245035336074,-35.8245035336074,-6.735653163425765,both_finite,0.0,0.3312479285086179,0.9903777405646719,7.806149396070359,11.80614939607036,10.638350200479199,nan,nan,nan,nan,0.7597437327395122,0.6464875573077387,0.09618229222911512,True,True,nan,nan,nan,-2.285932522573513,nan,1,2,1,OK
GC0024,29,0.21,11.27,110.0,LCDM-NFW,-0.6428597189492251,-0.6428597189492251,-1.598943866533432,both_finite,0.0,0.407778324682681,0.9725520022698575,90.72850918877062,92.39517585543729,96.19769250871651,nan,nan,nan,nan,0.5011142704620105,0.6088713475289631,0.052879223677882066,True,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC0055,21,1.23,13.5,87.4,LCDM-ISO,-28.234567310708773,-28.234567310708773,-7.457661714891678,both_finite,0.0,0.27548664470312756,0.9932005236187987,23.16853579425844,25.66853579425844,27.346625545152133,nan,nan,nan,nan,1.1200066936304973,0.3324057693486383,0.28658014865458586,True,True,nan,nan,nan,-1.3756392029254612,nan,1,2,0,OK
GC0100,21,0.23,9.62,91.2,LCDM-ISO,-52.01789669218209,-52.01789669218209,-15.454528265114703,both_finite,0.0,0.08861149963411104,0.9974311284118286,15.468058366439909,17.96805836643991,19.6461481173336,nan,nan,nan,nan,0.6530399237498827,0.6683865891483551,0.9278406736976121,True,True,nan,nan,nan,-2.9273749474311392,nan,0,1,0,OK
DO064,14,0.1,2.98,46.9,LCDM-ISO,-10.085226240784792,-10.085226240784792,-5.8513083598459215,both_finite,0.0,0.3916899478013681,0.9621643860950682,36.474891105955976,40.91933555040042,39.03112042441701,nan,nan,nan,nan,0.653640935837686,0.6410681522353568,0.39142928625465145,True,True,nan,nan,nan,-1.1987994355805216,nan,1,1,1,OK
GC0247,26,1.08,14.54,108.0,LCDM-NFW,32.21948941207953,32.21948941207953,-0.9148672147303145,both_finite,0.027227783203125,0.9999738162869513,0.9848201187837962,54.114750341509705,56.01951224627161,59.14713649359563,nan,nan,nan,nan,0.718515920565043,0.45334186617167543,0.004104354377093307,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC0289,28,1.5,71.12,194.0,LCDM-NFW,3.555920477393613,3.555920477393613,1.1405599953824535,both_finite,0.03265380859375,0.9999773480697249,0.010254993875455143,133.75020102375774,135.48933145854033,139.07901906445855,nan,nan,nan,nan,0.6942370593777776,0.6405537082133941,0.014300100989016375,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC0300,25,0.91,11.8,97.0,LCDM-ISO,-10.445638181294441,-10.445638181294441,-5.516436987127321,both_finite,0.0,0.4461219758628742,0.9623269174312598,65.75120782285639,67.75120782285639,70.62671112232918,nan,nan,nan,nan,1.0445290621294263,0.4393107141582962,0.45950783531218564,True,True,nan,nan,nan,-0.7374624457130095,nan,0,0,0,OK
DO154,12,0.49,5.92,48.2,LCDM-ISO,-12.921631486343644,-12.921631486343644,4.210465434610999,both_finite,0.023162841796875,1.000063719522415,0.986007673857319,11.442139730044243,17.156425444329958,13.381766329196244,nan,nan,nan,nan,0.589648371536983,1.0424546948487463,0.09142709261319557,False,True,nan,nan,nan,-0.8232636340744042,nan,0,2,0,OK
GC0801,13,1.17,59.82,238.0,LCDM-NFW,4.088039982503659,4.088039982503659,0.5924093723662409,both_finite,0.0908447265625,0.9999315377259558,0.8560561342468987,73.78018651567228,78.78018651567228,76.03998394551843,nan,nan,nan,nan,0.9419457950064012,0.3223766741907301,0.02194576052113794,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC0891,18,0.92,17.11,234.0,LCDM-NFW,6.852410802199486,6.852410802199486,0.3281876567387165,both_finite,0.018695068359375004,1.0000150871644773,0.17198431010099668,84.69757615487272,87.7744992317958,88.25906318645738,nan,nan,nan,nan,1.0714845745418655,0.4339591090097829,0.07500720719425218,False,True,nan,nan,nan,0.0,nan,1,1,0,OK
DO161,31,0.6,13.37,67.5,LCDM-ISO,-11.949767769798157,-11.949767769798157,-6.532475815697698,both_finite,0.0,0.3619407554413025,0.9935387364182189,28.889533738643546,30.427995277105087,34.62548255658413,nan,nan,nan,nan,0.5562531435665771,0.698749150247773,0.004717259239262505,True,True,nan,nan,nan,-0.29772705737416305,nan,0,1,0,OK
GC1003,36,1.25,30.24,115.0,LCDM-NFW,-4.4172381486147,-4.4172381486147,0.32707763128905754,both_finite,0.02918701171875,0.9999276859811793,0.9378632620993492,102.34624368394627,103.63656626459144,108.6803194377707,nan,nan,nan,nan,0.3327811037344118,0.8252946007629441,0.015611841981904398,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC1090,24,0.35,30.09,176.0,LCDM-ISO,-14.347942275676019,-14.347942275676019,0.65140281091454,both_finite,0.023999023437500003,1.0000242983194962,0.9696660032741108,99.86796789991962,101.97323105781436,104.5801832213114,nan,nan,nan,nan,0.9249891859429422,0.48894107110511653,0.0008907440564862252,False,True,nan,nan,nan,-2.3619780459178337,nan,0,0,0,OK
DO168,10,0.41,4.12,55.0,LCDM-ISO,-11.47262869704403,-11.47262869704403,1.196675062132229,both_finite,0.07072753906250001,1.0000984101489774,0.9508519600058918,29.747241617744354,37.74724161774435,30.957581989720538,nan,nan,nan,nan,0.8457000037365136,0.6049004791210207,0.10982881584959886,False,True,nan,nan,nan,-2.298100131608029,nan,1,2,1,OK
GC1705,14,0.22,6.0,73.2,LCDM-NFW,-1.7633338080889942,-1.7633338080889942,-0.06340776863688191,both_finite,0.0,0.07918071758688683,0.9152142013203853,23.49510222158698,27.939546666031426,26.05133154004801,nan,nan,nan,nan,2.4436559735830397,-0.3657338287006095,0.04386509418474673,True,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC2366,26,0.12,6.06,53.7,LCDM-ISO,-23.62253169462386,-23.62253169462386,9.530252069501405,both_finite,0.0,0.8318128539560979,0.9616939212687504,55.45890678502227,57.36366868978418,60.4912929371082,nan,nan,nan,nan,0.345612378981695,0.8463720186425945,0.0004439113044579306,True,True,nan,nan,nan,-1.4324013279245733,nan,1,2,1,OK
GC2403,73,0.16,20.87,136.0,LCDM-NFW,20.79111080149815,20.79111080149815,5.200654336328299,both_finite,0.030084228515625,1.0000452254905292,0.9831314213727356,187.0905460725103,187.67878136662796,196.25238383710388,nan,nan,nan,nan,0.15167310240403303,0.9219661236703863,0.00040057412581830993,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC2683,11,2.89,34.62,212.0,LCDM-NFW,-0.5436832455202918,-0.5436832455202918,0.33224711175253674,both_finite,0.0,0.9526278313176908,0.8661868838395667,53.55672989561153,60.2233965622782,55.148310986805015,nan,nan,nan,nan,2.4886109751030743,-0.24568319951851136,0.8931083878061877,False,False,nan,nan,nan,0.0,nan,1,1,2,OK
GC2841,50,3.44,63.64,323.0,LCDM-ISO,-37.76157645391399,-37.76157645391399,0.18324351373222925,both_finite,0.010000610351562505,0.9999859903526008,0.8689113425111148,186.73055884267305,187.61944773156193,194.37865086438563,nan,nan,nan,nan,0.34675213383760384,0.808268023790332,0.9473807013187793,False,True,nan,nan,nan,-2.740580428106564,nan,0,1,0,OK
DO170,8,1.87,12.33,62.2,LCDM-NFW,-8.846259260324318,-8.846259260324318,0.6586032252215741,both_finite,0.04954833984375,1.0000968634551657,0.9585691304666349,20.639618705990348,33.97295203932368,20.95738487270969,nan,nan,nan,nan,1.1633222378896781,0.11571729235532634,0.07671689447546301,False,False,nan,nan,nan,0.0,nan,1,1,1,OK
GC2903,34,0.32,24.96,216.0,LCDM-NFW,15.179795829177749,15.179795829177749,20.09630137408626,both_finite,0.18420410156250003,1.0000562215888735,0.7920213793296191,205.920202049261,207.2995123940886,212.02564414772564,nan,nan,nan,nan,0.3957373181425365,0.5778329967385208,0.0020087516210015696,False,True,nan,nan,nan,0.0,nan,1,1,2,OK
GC2915,30,0.34,10.04,86.5,LCDM-ISO,-15.206077567392711,-15.206077567392711,-4.5043472256542,both_finite,0.0,0.48053304629538274,0.9001942782736447,111.41791623118453,113.01791623118453,117.02270575783315,nan,nan,nan,nan,0.33297220485040363,0.810110158628569,0.004732886361946069,True,True,nan,nan,nan,-1.6166799906135223,nan,2,1,2,OK
