ID,n_points_used,r_min,r_max,v_max,model_chosen,delta_BIC,delta_BIC_raw,delta_BIC_chi,bic_status,s_frac,chi2_red,R2,AIC,AICc,BIC,Qexp,ring_A,ring_r,ring_sigma,DW,rho_AR1,BP_pvalue,conservative_sigma,resid_ar1_flagged,rmse_holdout,mae_holdout,r2_holdout,delta_rmse_in,delta_rmse_holdout,bound_hits_chosen,bound_hits_f7,bound_hits_f10,fit_status
GC0289,28,1.5,71.12,194.0,LCDM-NFW,3.5546102237300943,3.5546102237300943,1.1403857143669143,both_finite,0.03265380859375,0.9999661610526691,0.010273353527507578,133.75091005181065,135.49004048659324,139.07972809251146,nan,nan,nan,nan,0.694252243698691,0.6405471015584996,0.014300281250222499,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
amB,9,0.16,1.79,20.1,LCDM-ISO,-22.97799869578691,-22.97799869578691,2.1979597741544357,both_finite,0.0,0.645984346092266,0.9735743093753823,10.733744737378597,20.733744737378597,11.522643046723475,nan,nan,nan,nan,0.31436928788386326,0.9936610231914295,0.4416421953374189,True,True,nan,nan,nan,-3.0081301921178465,nan,2,2,2,OK
512-2,4,nan,nan,nan,NA,nan,nan,nan,both_fail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,0,0,0,too_few_points
564-8,6,0.51,3.07,25.0,LCDM-ISO,-20.20169351758127,-20.20169351758127,-1.5248352793918905,both_finite,0.0,0.06634451004524383,0.9978540938043536,-7.132783888472499,32.8672161115275,-7.965746011560279,nan,nan,nan,nan,2.120320010383719,-0.24090241423356923,0.7067170134640295,True,False,nan,nan,nan,-1.2422805839072004,nan,1,2,1,OK
631-7,16,0.45,7.19,58.5,LCDM-ISO,-42.056114224286745,-42.056114224286745,-4.502710824795816,both_finite,0.0,0.4003235761730147,0.9890902961812559,21.47746705479141,25.113830691155048,24.567821943750534,nan,nan,nan,nan,0.6190972488687787,0.5087486633107753,0.06244073656711763,True,True,nan,nan,nan,-4.147589711254639,nan,1,2,1,OK
GC0300,25,0.91,11.8,97.0,LCDM-ISO,-10.463632302720711,-10.463632302720711,-5.519035215618597,both_finite,0.0,0.44611708008328294,0.9623281566696062,65.73321082257108,67.73321082257108,70.60871412204388,nan,nan,nan,nan,1.0445645936879318,0.43930589013221594,0.45952756132076256,True,True,nan,nan,nan,-0.7386045005128907,nan,0,0,0,OK
GC04305,22,0.25,5.52,37.3,LCDM-NFW,-0.04034023204665971,-0.04034023204665971,0.7152329838948042,both_finite,0.10187988281250002,1.0000627718167665,0.7199640465412825,74.70884212842307,77.06178330489367,79.07301194185634,nan,nan,nan,nan,0.22231723488512956,0.8799405505462181,0.2135331544325922,False,True,nan,nan,nan,0.0,nan,2,2,2,OK
GC04325,8,0.7,5.59,92.7,LCDM-NFW,-2.3720869198038983,-2.3720869198038983,2.1897091758872183,both_finite,0.05325927734375001,0.9999416227901341,0.9568331780936429,28.502888346673117,41.83622168000645,28.820654513392462,nan,nan,nan,nan,1.4859387187727924,0.13303973302998692,0.05932473699896927,False,False,nan,nan,nan,0.0,nan,1,1,0,OK
GC04483,8,0.08,1.21,24.3,LCDM-NFW,-8.871650663623576,-8.871650663623576,-2.0701301999000705,both_finite,0.0,0.9097277280036985,0.9591699071258176,12.307326148694141,25.640659482027473,12.625092315413484,nan,nan,nan,nan,1.524708476539921,0.15443007711466636,0.04262506610134503,False,False,nan,nan,nan,0.0,nan,0,0,0,OK
DO064,14,0.1,2.98,46.9,LCDM-ISO,-10.0876457489098,-10.0876457489098,-5.854648983396359,both_finite,0.0,0.3916897776036504,0.9621646452953023,36.47410884211793,40.91855328656237,39.030338160578964,nan,nan,nan,nan,0.6536392011661867,0.6410680738355082,0.3914449894596286,True,True,nan,nan,nan,-1.1991084459463228,nan,1,1,1,OK
GC04499,9,0.91,8.18,74.3,LCDM-ISO,-17.565726109603382,-17.565726109603382,-3.3993665613360555,both_finite,0.0,0.22633291670591443,0.9940633279401484,10.277538218809884,20.277538218809884,11.06643652815476,nan,nan,nan,nan,1.4644899650587277,0.016718865850235364,0.15123800923086575,True,False,nan,nan,nan,-1.8765120585679353,nan,1,1,1,OK
GC05005,11,0.78,28.61,100.0,LCDM-ISO,-20.414561966938265,-20.414561966938265,-1.4619479759912863,both_finite,0.0,0.041478741696646275,0.9966017703241028,18.64545882118656,25.312125487853226,20.23703991238004,nan,nan,nan,nan,1.2445242243215415,0.17376561277428995,0.019703427916893283,True,False,nan,nan,nan,-2.4810490087950914,nan,0,1,0,OK
GC0801,13,1.17,59.82,238.0,LCDM-NFW,4.043775359003334,4.043775359003334,0.7080619144874092,both_finite,0.09207763671875001,0.9999050644143165,0.8564129391023132,73.82636656306741,78.82636656306741,76.08616399291355,nan,nan,nan,nan,0.9231342193347223,0.32628455314171895,0.026684672631065273,False,True,nan,nan,nan,0.0,nan,0,0,1,OK
GC05253,73,0.13,53.29,248.0,LCDM-NFW,-6.820465934372237,-6.820465934372237,21.839911396687796,both_finite,0.0189056396484375,0.9999833003546064,-1.7866830698456382,409.2281153487984,409.816350642916,418.3899531133919,nan,nan,nan,nan,0.15097895198993191,0.8478557905896995,0.44779350963524567,False,True,nan,nan,nan,0.0,nan,0,0,0,OK
GC05414,6,0.68,4.11,61.4,LCDM-ISO,-19.69361261662404,-19.69361261662404,-1.1411349210014992,both_finite,0.0,0.1526731634108385,0.9984233689549606,1.0937080670521144,41.09370806705211,0.26074594396433426,nan,nan,nan,nan,3.302704594878888,-0.7068777327827578,0.2724609272822193,True,True,nan,nan,nan,-2.3401992966537444,nan,0,2,0,OK
DO154,12,0.49,5.92,48.2,LCDM-ISO,-12.923373870112798,-12.923373870112798,4.208888909208085,both_finite,0.023162841796875,0.9999727909765732,0.9860082929835863,11.44037181465748,17.154657528943194,13.379998413809481,nan,nan,nan,nan,0.5897029105948338,1.0419358695312537,0.09151110480667804,False,True,nan,nan,nan,-0.8233465505403663,nan,0,2,0,OK
GC05716,12,1.03,12.37,74.7,LCDM-NFW,9.573482250597529,9.573482250597529,0.2903234193728892,both_finite,0.012158203125,0.9999544458030676,0.9865510166908797,13.813902887419152,19.528188601704866,15.753529486571153,nan,nan,nan,nan,0.9426971016485771,0.5050266509460207,0.3386370964976594,False,True,nan,nan,nan,0.0,nan,1,1,0,OK
GC05721,23,0.09,6.74,82.6,LCDM-NFW,-0.09250918912998429,-0.09250918912998429,-0.33899778273412906,both_finite,0.0,0.9412446198845883,0.9322442652921542,75.68739164808441,77.90961387030664,80.22936851180101,nan,nan,nan,nan,0.5907019576081661,0.6111002147930404,0.01700013338842315,False,True,nan,nan,nan,0.0,nan,1,1,1,OK
GC05750,11,0.31,22.85,78.9,LCDM-ISO,-11.687640120619804,-11.687640120619804,-4.629889098088816,both_finite,0.0,0.21486914947858599,0.9805618205994016,35.15836306694075,41.825029733607415,36.74994415813423,nan,nan,nan,nan,0.7235678582467462,0.6166448279527679,0.08217266699488565,True,True,nan,nan,nan,-2.409262900449328,nan,0,1,0,OK
