ID,n,n_outer,finite_outer,r2_outer,frac_used,A,A_err,B,B_err,alpha_log,alpha_log_err,cC2,cC2_err,alpha_Ric,alpha_Ric_err
563-1,17,3,1.00,1.00,0.35,919.4240753631652,7.7557342649882095,-4007.560263994369,51.611563835636744,17715.562645915903,281.3662486548387,459.7120376815826,3.8778671324941048,17715.562645915903,281.3662486548387
563-V2,10,3,1.00,1.00,0.35,180.79805803446746,1.1226915602720968,-1539.3812177978084,12.409252590729194,946.5820013160492,10.284485207639529,90.39902901723373,0.5613457801360484,946.5820013160492,10.284485207639529
565-V2,7,3,1.00,1.00,0.35,162.5543051693832,0.13290710804939465,-1138.2620279636,1.2505119498449078,558.9908954336236,0.7084961826538158,81.2771525846916,0.06645355402469733,558.9908954336236,0.7084961826538158
568-1,12,3,1.00,0.99,0.35,131.6586702280871,0.1478012608055706,-1037.636228432785,1.6990838320810644,666.7480807664529,1.7671939890717197,65.82933511404354,0.0739006304027853,666.7480807664529,1.7671939890717197
568-3,18,3,1.00,0.99,0.35,361.33648395568804,0.4600115749391738,-3153.1662590685755,2.5377183668901497,5441.407314611004,11.41327859195525,180.66824197784402,0.2300057874695869,5441.407314611004,11.41327859195525
568-V1,15,3,1.00,0.99,0.35,380.5074857254323,0.10348951785453131,-3801.8390194134477,1.192451431394606,3545.5880682639886,1.4616471079665687,190.25374286271614,0.051744758927265655,3545.5880682639886,1.4616471079665687
571-8,13,3,1.00,0.66,0.35,400.79135004803493,0.11218678893223467,-4048.6966774966513,1.3031861211683007,3177.8483999949485,1.4330777384270672,200.39567502401746,0.05609339446611734,3177.8483999949485,1.4330777384270672
571-V1,7,3,1.00,0.89,0.35,319.28622000381876,0.1899326092139693,-3237.119194382283,2.1672438680004156,2814.582541278851,2.4171416054754227,159.64311000190938,0.09496630460698464,2814.582541278851,2.4171416054754227
574-1,14,3,1.00,0.99,0.35,115.69252609947777,0.5387139934281492,-1017.5199173517955,5.898297535037294,938.2201544392702,7.324533277789281,57.84626304973889,0.2693569967140746,938.2201544392702,7.324533277789281
579-V1,14,3,1.00,0.57,0.35,125.33038284599503,0.08522544412756382,-1253.6247076897569,0.910732091504352,1135.0890305094479,1.3578355251735768,62.665191422997516,0.04261272206378191,1135.0890305094479,1.3578355251735768
583-1,25,3,1.00,1.00,0.35,291.7760853904129,0.6428407084126101,-2817.6542124428947,7.268209079031655,3126.7233449295413,10.958496473814307,145.88804269520645,0.32142035420630505,3126.7233449295413,10.958496473814307
583-4,12,3,1.00,1.00,0.35,109.30574192041466,0.11312421673882454,-823.9798963906637,0.9658960624699089,402.73172588514126,0.5005144004891818,54.65287096020733,0.05656210836941227,402.73172588514126,0.5005144004891818
631-7,16,3,1.00,0.98,0.35,153.17180859341892,0.7780291261264519,-870.1354991250506,6.7108021877040835,354.8583022406692,3.533945208281928,76.58590429670946,0.38901456306322596,354.8583022406692,3.533945208281928
C2574,34,3,1.00,0.97,0.35,-324.2877427510433,3.1430826483947967,3848.818050778152,34.74273297388939,-3554.455193632515,31.44400692014011,-162.14387137552166,1.5715413241973983,-3554.455193632515,31.44400692014011
C4202,32,3,1.00,0.99,0.35,397.49605732957326,1.9653882208191038,7172.731930393774,85.68955253446047,17260.304294149148,120.81806432347142,198.74802866478663,0.9826941104095519,17260.304294149148,120.81806432347142
DO064,14,3,1.00,0.92,0.35,7.905373606696276,0.010044080970643627,-14.568470246139524,0.02636955681028734,3.5736457235665546,0.006930064783317097,3.952686803348138,0.005022040485321813,3.5736457235665546,0.006930064783317097
DO154,12,3,1.00,0.95,0.35,90.99569298092428,0.2542869819719901,-399.353561836194,1.7400474755426119,139.7782591275357,0.741626532184923,45.49784649046214,0.12714349098599506,139.7782591275357,0.741626532184923
DO161,31,3,1.00,0.99,0.35,503.7760313997345,4.365438469479386,-5076.610667772192,43.15562380337602,5906.506233805735,73.16991898431141,251.88801569986725,2.182719234739693,5906.506233805735,73.16991898431141
DO168,10,3,1.00,0.99,0.35,16.888775051728825,0.03361701420315756,-47.79181146294233,0.14132776111242024,14.055708121906472,0.04523505450918246,8.444387525864412,0.01680850710157878,14.055708121906472,0.04523505450918246
DO170,8,3,1.00,0.99,0.35,323.260532772498,0.2140712460170762,-3276.3125258223504,2.4321687841532147,2617.510203607794,2.4099586131215447,161.630266386249,0.1070356230085381,2617.510203607794,2.4099586131215447
GC00128,22,3,1.00,0.99,0.35,10806.403394813844,74.22966795109862,2901068.6946133994,42541.50722672591,1681930.97003011,19623.444404318838,5403.201697406922,37.11483397554931,1681930.97003011,19623.444404318838
GC00191,9,3,1.00,0.97,0.35,65.71585223436573,0.01672383441708388,-452.7349962619244,0.14765300292978323,200.03925148013187,0.07135632790849811,32.85792611718286,0.00836191720854194,200.03925148013187,0.07135632790849811
GC0024,29,3,1.00,1.00,0.35,287.0674847202707,0.23236395527738013,-2673.0532147419435,2.597355225632584,1761.6059272479965,2.171020966045713,143.53374236013536,0.11618197763869006,1761.6059272479965,2.171020966045713
GC0055,21,3,1.00,0.98,0.35,-34.24957470077785,1.0283047656809998,465.3724677320923,10.202572159460253,-1141.8553497903035,17.19583382553117,-17.124787350388925,0.5141523828404999,-1141.8553497903035,17.19583382553117
GC00731,12,3,1.00,0.76,0.35,124.52713608794905,0.3830009834388543,-1045.2803304840531,4.264450951201104,742.3026041029732,3.7869321611924565,62.26356804397452,0.19150049171942715,742.3026041029732,3.7869321611924565
GC0100,21,3,1.00,1.00,0.35,75.53133992540441,1.8358290903364114,-501.7143718763586,19.86329006107834,180.06386343726817,15.844833216429302,37.765669962702205,0.9179145451682057,180.06386343726817,15.844833216429302
GC01230,11,3,1.00,0.83,0.35,2340.720004755054,1.3158205496805426,127875.32702688512,128.60504121377878,153191.5543521399,119.98505615401068,1170.360002377527,0.6579102748402713,153191.5543521399,119.98505615401068
GC01281,25,3,1.00,0.99,0.35,31.87809641574933,0.1218638715562955,-118.5634928438833,0.6860579877420767,40.04884788350446,0.257088141339349,15.939048207874665,0.06093193577814775,40.04884788350446,0.257088141339349
GC02259,8,3,1.00,0.99,0.35,128.7158012371818,0.0918421355570653,-928.5736505889902,0.8249119790167668,445.12801560729474,0.44557282926565633,64.3579006185909,0.04592106777853265,445.12801560729474,0.44557282926565633
GC02455,8,3,1.00,1.00,0.35,2.1110986327122823,0.0037022882630448548,-9.822195698509239,0.014316797187924115,2.933587703169225,0.0043929646903992535,1.0555493163561411,0.0018511441315224274,2.933587703169225,0.0043929646903992535
GC0247,26,3,1.00,1.00,0.35,423.21549540204364,3.1698925641047357,-4233.781342354126,26.56995559462897,5731.754146254514,62.771406653440415,211.60774770102182,1.5849462820523679,5731.754146254514,62.771406653440415
GC02487,17,3,1.00,0.84,0.35,10978.542697209381,34.593682068529795,10369944.881740795,57551.32342613244,4021473.1222763956,19642.00109974328,5489.2713486046905,17.296841034264897,4021473.1222763956,19642.00109974328
GC02885,19,3,1.00,1.00,0.35,7479.5414202050415,26.769436708089852,6836270.0367209185,36896.76539431826,2676584.949207099,13216.808754008218,3739.7707101025208,13.384718354044926,2676584.949207099,13216.808754008218
GC0289,28,3,1.00,0.80,0.35,9672.936540126442,60.18969320327172,7412969.245495993,76974.71156969391,3053734.0955855954,28117.449833641367,4836.468270063221,30.09484660163586,3053734.0955855954,28117.449833641367
GC02916,43,3,1.00,0.94,0.35,895.3156055468364,1.5108323461145237,71455.37341162525,249.45248129426452,69968.24655621235,181.583714418764,447.6578027734182,0.7554161730572618,69968.24655621235,181.583714418764
GC02953,115,3,1.00,0.99,0.35,6503.621126032169,61.55143851039824,3004630.9754698295,55517.435214712365,1443513.1234746492,22336.62710844896,3251.8105630160844,30.77571925519912,1443513.1234746492,22336.62710844896
GC0300,25,3,1.00,0.97,0.35,212.90117574027937,3.4746584855113203,-1936.5571600715969,38.094018285074725,1328.5232943653975,45.331913300737774,106.45058787013969,1.7373292427556601,1328.5232943653975,45.331913300737774
GC03205,48,3,1.00,0.99,0.35,1814.009768170949,1.9659762810253734,166219.6601282752,343.0604036103692,152128.1184150181,244.79423282031334,907.0048840854745,0.9829881405126867,152128.1184150181,244.79423282031334
GC03546,30,3,1.00,0.93,0.35,662.0868402136605,0.49017973052532393,12849.81767140252,25.520492098593117,29413.858776475467,32.67459399609232,331.04342010683024,0.24508986526266197,29413.858776475467,32.67459399609232
GC03580,47,3,1.00,0.80,0.35,708.7171520837877,1.3993860815720522,-6165.34900024802,47.20921003488228,14279.51212414239,78.26609789094914,354.35857604189385,0.6996930407860261,14279.51212414239,78.26609789094914
GC04278,25,3,1.00,0.63,0.35,392.9402758007197,1.5281902707974866,-3201.326097913804,12.82044963214423,1634.3726560618968,6.584724298775732,196.47013790035984,0.7640951353987433,1634.3726560618968,6.584724298775732
GC04305,22,3,1.00,1.00,0.35,6.318571787792306,0.027286772555923308,-43.5678277281846,0.1816563157402259,17.614678778292994,0.07627020411145201,3.159285893896153,0.013643386277961654,17.614678778292994,0.07627020411145201
GC04325,8,3,1.00,0.98,0.35,25.969010134807,0.025125222535053282,-109.80843616753656,0.14945305017276572,37.56809066370692,0.05738195380648278,12.9845050674035,0.012562611267526641,37.56809066370692,0.05738195380648278
GC04483,8,3,1.00,0.99,0.35,1.04807338749799,0.0010122375577067166,-0.38885115821704025,0.000602066947870331,0.06383447166150828,0.00010578918193992665,0.524036693748995,0.0005061187788533583,0.06383447166150828,0.00010578918193992665
GC04499,9,3,1.00,0.98,0.35,37.79014975532372,0.06436965726903796,-237.69764266299748,0.5909672827367703,110.53090319384167,0.3299785086923581,18.89507487766186,0.03218482863451898,110.53090319384167,0.3299785086923581
GC05005,11,3,1.00,0.52,0.35,669.961050770667,1.0411480129470219,-4263.442958052246,41.94457229437323,13672.242118678028,62.592283971107776,334.9805253853335,0.5205740064735109,13672.242118678028,62.592283971107776
GC05253,73,3,1.00,0.98,0.35,3551.048040237855,9.217275888213171,1236959.6356710664,4858.853201782822,653329.2703562033,2303.3381561810397,1775.5240201189274,4.608637944106586,653329.2703562033,2303.3381561810397
GC05716,12,3,1.00,0.97,0.35,457.7901931684317,0.7558535359881309,-4627.819289200583,8.402450255797257,4162.925535911652,9.63895019834405,228.89509658421585,0.37792676799406544,4162.925535911652,9.63895019834405
GC05721,23,3,1.00,0.92,0.35,96.25433220212561,0.474534724900833,-492.03644980111443,3.8302464810959056,189.1195970077558,1.8823179002247965,48.127166101062805,0.2372673624504165,189.1195970077558,1.8823179002247965
GC05750,11,3,1.00,0.85,0.35,189.7560809360115,0.03694948109904641,-1917.9666869492576,0.425617936233608,1558.7770719060925,0.47492009945682495,94.87804046800575,0.018474740549523205,1558.7770719060925,0.47492009945682495
GC05764,10,3,1.00,1.00,0.35,12.534107174902934,0.040348098549114496,-20.754181075680666,0.14181572785402785,5.109735600372101,0.041922687722806204,6.267053587451467,0.020174049274557248,5.109735600372101,0.041922687722806204
GC05829,11,3,1.00,1.00,0.35,52.45726593302581,0.08040146229305185,-325.5380690058214,0.6435207084199347,140.6519322023346,0.31185648085776707,26.228632966512905,0.04020073114652593,140.6519322023346,0.31185648085776707
GC05918,8,3,1.00,0.99,0.35,16.64724901982513,0.025183848248408403,-46.17864432496752,0.11181114811448313,13.695332362867438,0.03657185769109236,8.323624509912564,0.012591924124204202,13.695332362867438,0.03657185769109236
GC05986,15,3,1.00,0.99,0.35,30.638268208647577,0.4621783663379564,-25.94073640511342,4.8831237907302345,-123.02007483211703,3.5596860964291466,15.319134104323789,0.2310891831689782,-123.02007483211703,3.5596860964291466
GC06399,9,3,1.00,0.99,0.35,70.91474867320413,0.07640093973035354,-482.1661284897784,0.6754790223368085,223.80299111732063,0.360477348781859,35.457374336602065,0.03820046986517677,223.80299111732063,0.360477348781859
GC06446,17,3,1.00,0.99,0.35,20.048862912383644,0.6924916807678311,157.15716790181068,7.59671104790316,-297.5841470150345,6.329063588243439,10.024431456191822,0.34624584038391554,-297.5841470150345,6.329063588243439
GC06614,13,3,1.00,0.75,0.35,2999.812766400422,0.8466648076847023,620438.2327752617,325.1121662004227,399944.22784551216,173.9566065072803,1499.906383200211,0.42333240384235116,399944.22784551216,173.9566065072803
GC06628,7,3,1.00,0.87,0.35,-8.860721297706892,0.007458339691817131,49.65654082073762,0.06178873071629568,-19.673916662960696,0.030384553496934388,-4.430360648853446,0.0037291698459085655,-19.673916662960696,0.030384553496934388
GC06667,9,3,1.00,1.00,0.35,155.2567819432969,0.20166538158616631,-1064.275499329732,1.7829719801062016,522.3662068421615,0.9515040306026713,77.62839097164844,0.10083269079308316,522.3662068421615,0.9515040306026713
GC06786,45,3,1.00,1.00,0.35,1642.7378054032333,8.438847393752445,60439.68173507694,1047.343102858464,87969.77389233574,861.963531613728,821.3689027016167,4.219423696876222,87969.77389233574,861.963531613728
GC06787,71,3,1.00,1.00,0.35,3711.5814077375926,11.396012561137598,315438.32397595776,1955.275510182122,297969.68938171153,1398.449743954386,1855.7907038687963,5.698006280568799,297969.68938171153,1398.449743954386
GC06818,8,3,1.00,0.33,0.35,77.85801039365455,0.043247389108369984,-503.99045220972437,0.3330344669871326,217.45031595950178,0.1542947813342779,38.929005196827276,0.021623694554184992,217.45031595950178,0.1542947813342779
GC06917,11,3,1.00,1.00,0.35,45.73139596868034,0.18253918566372104,-322.2174794890977,2.0084587558403615,141.98636951202351,1.6613273576930119,22.86569798434017,0.09126959283186052,141.98636951202351,1.6613273576930119
GC06930,10,3,1.00,0.99,0.35,317.26481417269923,0.6739181074323243,-3021.293786593689,4.353362393444222,4822.562773063646,15.568639592585738,158.63240708634962,0.33695905371616214,4822.562773063646,15.568639592585738
GC06973,9,3,1.00,1.00,0.35,13.837947388634367,0.012888767837031936,-121.1094654712223,0.11982980017808993,60.87710648489582,0.06912392813727486,6.918973694317184,0.006444383918515968,60.87710648489582,0.06912392813727486
GC06983,17,3,1.00,1.00,0.35,232.24955240946477,1.638227119781714,-2128.3553410495806,11.610631174820837,2735.1587803633847,36.006252057810045,116.12477620473238,0.819113559890857,2735.1587803633847,36.006252057810045
GC07089,12,3,1.00,1.00,0.35,71.93006575098559,0.18957377245850887,-622.2068509709113,1.9666340252854737,364.0072227685377,1.363536899067182,35.965032875492795,0.09478688622925444,364.0072227685377,1.363536899067182
GC07125,13,3,1.00,0.97,0.35,609.9295969172849,0.4899358295317147,-1908.166799038121,0.7670506313047333,15698.050509492257,14.49508812938539,304.96479845864246,0.24496791476585736,15698.050509492257,14.49508812938539
GC07151,11,3,1.00,0.99,0.35,7.737277249185232,0.02437547186534974,-27.52893321087098,0.15076654090409694,9.100240274784207,0.05977842053033062,3.868638624592616,0.01218773593267487,9.100240274784207,0.05977842053033062
GC07261,7,3,1.00,0.97,0.35,20.528786620288816,0.023519186964061207,-80.82889712220565,0.1668903953681532,25.886199758314042,0.07190321005865238,10.264393310144408,0.011759593482030603,25.886199758314042,0.07190321005865238
GC07323,10,3,1.00,0.99,0.35,17.089573558010294,0.013374468053873484,-93.42256149330096,0.08725291922275678,35.88416171970681,0.03580710155091646,8.544786779005147,0.006687234026936742,35.88416171970681,0.03580710155091646
GC07399,10,3,1.00,1.00,0.35,99.88381014829046,0.15927434010388586,-494.14909238534955,1.1053761636235313,185.93182237055706,0.4744532993711732,49.94190507414523,0.07963717005194293,185.93182237055706,0.4744532993711732
GC07524,31,3,1.00,1.00,0.35,290.20032923662706,1.524742092798208,-3039.0957513756516,16.941825477467862,2787.687126572724,16.455927631415733,145.10016461831353,0.762371046399104,2787.687126572724,16.455927631415733
GC07559,7,3,1.00,0.99,0.35,1.0351709908387083,0.002287960074132864,-0.3264412084376075,0.00427535407885212,0.029742015749630257,0.0010027722506126607,0.5175854954193542,0.001143980037066432,0.029742015749630257,0.0010027722506126607
GC07577,9,3,1.00,1.00,0.35,2.0703938767801593,0.0004579042768475191,-1.997693711045321,0.0004967961262386369,0.3929995984735685,0.00010056006999380195,1.0351969383900796,0.00022895213842375956,0.3929995984735685,0.00010056006999380195
GC07603,12,3,1.00,0.99,0.35,38.09116829450062,0.07854560961091778,-114.46958986703378,0.3389493739314174,33.388236884576926,0.1100742277629499,19.04558414725031,0.03927280480545889,33.388236884576926,0.1100742277629499
GC07608,8,3,1.00,1.00,0.35,27.542966503794993,0.05191879952693911,-69.1045967196,0.25331339754578663,19.646181895013125,0.086909495399132,13.771483251897497,0.025959399763469556,19.646181895013125,0.086909495399132
GC07690,7,3,1.00,0.77,0.35,9.705462996508953,0.00541766190347066,-27.830090015343234,0.02083679259264636,7.832372476001616,0.00635640468529112,4.852731498254476,0.00270883095173533,7.832372476001616,0.00635640468529112
GC07866,7,3,1.00,1.00,0.35,3.261271305253943,0.002104079668084491,-3.854011615387665,0.003478664363083524,0.8185143513116913,0.0007870186771155328,1.6306356526269714,0.0010520398340422455,0.8185143513116913,0.0007870186771155328
